global nn,fg_e,Dataset,AP,PRO,pixel_AUROC,image_AUROC,iteration
16,0.05,bottle,91.86,97.14,99.29,100.00,4500
16,0.05,cable,85.52,96.52,99.38,99.91,4500
16,0.05,capsule,59.84,97.09,99.05,93.34,4500
16,0.05,hazelnut,82.92,97.89,99.37,100.00,4500
16,0.05,metal_nut,97.26,97.20,99.63,99.27,4500
16,0.05,pill,78.11,94.16,98.35,91.08,4500
16,0.05,screw,60.04,96.93,99.41,93.99,4500
16,0.05,toothbrush,78.47,94.90,99.50,98.89,4500
16,0.05,transistor,85.25,97.37,98.45,99.67,4500
16,0.05,zipper,86.93,98.63,99.53,99.71,4500
16,0.05,Average,80.62,96.783458,99.20,97.59,4500

16,0.1,bottle,92.12,97.30,99.32,100.00,4500
16,0.1,cable,85.60,96.43,99.37,99.87,4500
16,0.1,capsule,60.05,97.21,99.11,93.34,4500
16,0.1,hazelnut,83.09,97.96,99.39,100.00,4500
16,0.1,metal_nut,97.36,97.29,99.65,99.71,4500
16,0.1,pill,79.82,95.19,98.63,91.57,4500
16,0.1,screw,60.48,97.06,99.42,94.65,4500
16,0.1,toothbrush,79.44,95.24,99.52,99.72,4500
16,0.1,transistor,85.28,97.34,98.36,99.67,4500
16,0.1,zipper,87.17,98.66,99.54,99.89,4500
16,0.1,Average,81.04,96.968911,99.23,97.84,4500

16,0.15,bottle,92.28,97.41,99.35,100.00,4500
16,0.15,cable,85.63,96.32,99.36,99.81,4500
16,0.15,capsule,60.18,97.24,99.13,93.42,4500
16,0.15,hazelnut,83.22,98.01,99.41,100.00,4500
16,0.15,metal_nut,97.43,97.36,99.66,99.90,4500
16,0.15,pill,81.07,95.74,98.76,92.20,4500
16,0.15,screw,60.80,97.08,99.42,95.22,4500
16,0.15,toothbrush,79.86,95.48,99.54,99.72,4500
16,0.15,transistor,85.27,97.29,98.28,99.67,4500
16,0.15,zipper,87.34,98.68,99.55,99.97,4500
16,0.15,Average,81.31,97.061277,99.24,97.99,4500

16,0.2,bottle,92.38,97.48,99.36,100.00,4500
16,0.2,cable,85.64,96.22,99.35,99.78,4500
16,0.2,capsule,60.26,97.21,99.14,93.82,4500
16,0.2,hazelnut,83.32,98.04,99.42,100.00,4500
16,0.2,metal_nut,97.48,97.41,99.66,100.00,4500
16,0.2,pill,82.00,96.06,98.82,92.94,4500
